,prompt,completion,topics
159,Do I really need to be investing?,Nowadays everyone needs to do Baby Step 4 and invest 15%.,['investing']
160,Can I actually become a millionare?,“Anyone CAN and SHOULD be a millionaire. The American dream is alive and well and available.”,['millionaire']
161,I feel like I don't make enough to be able to invest,Investing and retirement isn’t an elitist activity that depends on your income.,['investing']
162,Should I have my emergency fund in an investment so that it grows?,"The emergency fund is a kind of insurance, not an investment.","['emergency fund', 'investing']"
163,Why should I invest in my 401(k)?,The majority (eight out of 10) of millionaires invested in their company 401(k).,['401(k)']
164,How long will this take me?,"The average amount of time that millionaires spend working, saving and investing before hitting the million-dollar mark is 28 years. This is how the tortoise beats the hare almost every time.",['how long']
165,How much of a return can I expect yearly on investments?,"When Dave teaches on investing, he uses 10–12% as the rate of return",['investing']
166,Is insurance an investment in my potential future?,Insurance is not an investment. You aren’t trying to build wealth with insurance.,['insurance']
167,Can I combine my investing with my insurance?,Keep insurance and investments separate.,['insurance']
168,What service do you recommend for an investing advisor?,SmartVestor Pros are investing professionals who will work with you to create a financial plan that fits your situation and keeps your goals in mind.,"['investing', 'advisor']"
169,Can you promise results if I use a Smartvestor?,"We can say that SmartVestor Pros know the Baby Steps, will serve you well, and will help you understand your money plan.",['advisor']
170,What percent of non-retired Americans have no retirement savings?,"According to the Federal Reserve System, 26%",['retirement']
171,What is the average rate of return from the S&P 500?,"According to the New York University Stern School of Business, 11.46% annually.",['investing']
172,Does my pension count towards the 15% I should invest?,"If you have pension payments that are required and are mandatory and are removed from your check, whether you want them to or not in other words, then I would not count them 100% toward the 15% because you’re not in control of that money. If you have a 401(k) with $100,000 in it and your company goes broke, you don’t lose a dime. Because the 401(k) with $100,000 in it is in your name. If you have $100,000 in your pension, and the company goes broke, you lose all your money. The pension is an asset of the company, not you",['pension']
173,Why should I invest in my 401(k) over my pension?,"The truth is, the 401(k) has made more millionaires than pensions ever did.","['pension', '401(k)']"
174,What is the benefit of a Taxable investment account?,"Taxable investment accounts (like a brokerage account) offer something that classic retirement plans like a 401(k) or an IRA don’t, and that’s flexibility",['']
175,Are there options out there for me?,"Don’t worry, there are—and one you’ll want to know about is the SEP IRA. That stands for Simplified Employee Pension Individual Retirement Account, and it lets self-employed folks and small businesses create retirement savings plans that are tax-deferred accounts and work like traditional IRAs.",['']
176,Why should I get a SIMPLE IRA?,"while a typical 401(k) plan might be limited to just a handful of options, SIMPLE IRAs usually have a much larger menu of investments for you to choose from!",['']
177,Why should I set up a SIMPLE IRA?,“One of the biggest benefits to opening a SIMPLE IRA is that they’re much easier to set up and less expensive to run than a typical 401(k) plan or other “qualified plans.” That’s because they have lower administrative costs and fewer regulations to worry about. That’s music to any business owner’s ears!,['']
178,What is 0% Financing?,"A marketing tactic that offers consumers a loan with a 0% interest rate. The interest rate usually stays at 0% for anywhere from six months up to a few years. But after the promotional period has ended, the balance must be paid, or you’ll be charged interest. Sometimes interest accrues (builds) during the promotional period and gets applied to your balance if you don’t pay if off in time. Businesses mostly use this to sell big-ticket items such as cars or home appliances.",['zero interest']
179,What is a 401(k) Loan?,"A 401(k) loan lets you to borrow money from your employer-sponsored retirement account. But you have to pay back that money plus interest into your 401(k) over time. And if you get fired, laid off or decide to leave your job while you still have a loan balance, you’ll have to repay the entire balance by the following year’s tax filing deadline. Otherwise, you’ll have to pay income taxes on whatever you still owe, plus a 10% withdrawal penalty. Yeah, it’s a really bad idea. The last thing anyone needs if they lose their job is more debt to pay off",['401(k)']
180,What does 90 Days Same as Cash mean?,"A type of financing that delays interest for the first 90 days (almost as if you had purchased the item with cash—except not). If your balance isn't paid in full within 90 days, you get charged interest dating back to the day you made the purchase.",['']
181,What is Annual Percentage Rate (APR)?,"The interest rate charged for borrowing money, plus fees. Even though it’s called the annual percentage rate, APR is actually charged monthly. So, if you don’t pay off your credit card balance by the end of your monthly billing cycle, you’ll be charged interest since that money is still technically on loan to you.",['']
182,What is an asset?,"Anything you own that has value—cars, houses, furniture, jewelry, etc. ",['']
183,What is an asset?,"Anything you own that has value—cars, houses, furniture, jewelry, etc.     Assets contribute to your net worth: the value of your assets (the things you own) minus your liabilities (the amount of debt you have) equals your net worth.    If you have debt and stop making your payments, your creditors (people who loaned you money) may place a lien (aka a claim of ownership) on your assets to recover what you owe them.    In the case of bankruptcy, you usually have to sell most of your assets to pay back your creditors.",['']
184,What is a balance?,"In the case of debt, the balance is how much you currently owe on a debt. For example, if you pay off the balance of a credit card, you no longer owe on it. You have a zero balance. If you don’t pay the whole amount, you “carry a balance,” and you’ll be charged interest on the remaining balance.",['']
185,What is bankruptcy and what are the different types?,"A court proceeding where you tell a judge you can’t pay your debts. The judge and court trustee look through your assets and liabilities (aka what you own and what you owe) to decide whether to discharge (cancel) some of your debts. If the court finds that you really have no means to pay back your debt, you’ll go through the official process of declaring bankruptcy.   Many types of debt can’t be erased by bankruptcy: student loans, government debts like taxes, fines or penalties, child support and alimony, and expensive items (cars, boats, jewelry) purchased right before you file for bankruptcy. But bankruptcy can stop a foreclosure on your home, repossession of property or garnishment of your wages.  Bankruptcy Chapters:     Chapter 7: Also known as liquidation or straight bankruptcy, Chapter 7 is the most common type of bankruptcy for individuals. A court-appointed trustee oversees the liquidation (sale) of your assets to pay off your creditors. Any remaining unsecured debt (like credit cards or medical bills) is typically erased.    Chapter 11: This is used to reorganize a business or corporation. Businesses come up with a plan for how they’ll continue operating the company while paying off their debt. Both the court and the creditors must approve this plan. Some individuals, such as real estate investors, who have too much debt to qualify for Chapter 13, but who also have a lot of high-value properties and assets, may also choose to file under Chapter 11. But unless you’re a pro athlete or a celebrity, you’re probably not going to mess with this one.    Chapter 13: The court approves a monthly payment plan so you can pay back a portion of your unsecured debt and all of your secured debt over a period of three to five years. The monthly payment amounts depend on your income and the amount of debt you have. But the court also gets to put you on a strict budget and check all your spending. Unlike Chapter 7, this kind of bankruptcy allows you to keep your assets and catch up on any debt that isn’t bankruptable. Chapter 13 can also stop a foreclosure by giving you time to bring your mortgage up to date.     Less Common Types of Bankruptcy:     Chapter 9: This is another repayment plan that allows towns, cities, school districts, etc. to reorganize and pay back what they owe.    Chapter 12: This is a repayment plan that allows family farmers and fisherman to avoid having to sell all their stuff or foreclose on their property. While it’s similar to Chapter 13 bankruptcy, Chapter 12 is a little more flexible and has higher debt limits.    Chapter 15: This deals with international bankruptcy issues and gives foreign debtors access to U.S. bankruptcy courts.",['']
186,What is a borrower?,The person taking on debt from a lender or creditor (aka the person borrowing money). The borrower is slave to the lender. Proverbs 22:7,['']
187,What is business debt?,"Any money you borrow to run your business. It might be a business loan you took out from the bank or money lent to you by outside investors.  Note: That most of your business debt is likely considered personal debt. Here’s a surefire way to know the difference:  Did you sign the loan in your name? If so, then it’s a personal loan.  Who will those loan sharks come after if your business can’t pay? If they’re coming after you, then it’s a personal loan.  Will you lose any personal property if you don’t hold up your end of the deal? If so . . . you’ve got a personal loan on your hands.",['']
188,"What is Buy Now, Pay Later?","A digital installment plan that breaks up your purchase into smaller chunks (installment payments) that you pay over a set amount of time. It’s basically the online version of layaway, and people should steer clear of it.",['']
189,What is a car lease?,"A contract where you pay in monthly installments to drive a car for a certain period of time (usually two to three years). It’s kind of like a glorified car rental—but unlike a rental, it’s a form of debt because the money for the lease comes from a bank or credit union, so you have to pay them back over time. A car lease (fleece) is the most expensive way to drive a car.",['']
190,What is a car loan?,"The amount of money you borrow to purchase a car. You repay the loan within a certain time frame. Because your car often loses value faster than you can pay down the car loan, people often end up “upside down” on their car loan and owe more on their loan than the car is worth.",['']
191,What is a car payment?,"The amount you pay a lender each month to pay back a car loan. The payment is made up of principal (the amount you borrowed) plus interest. The amount of your car payment depends on how much you borrowed, how much your interest rate is and the term (how you have to pay back the loan) of your loan. Also known as a car note.",['']
192,What is collateral?,"Property (like a car, home, etc.) that a lender can take if you stop making payments on your debt. Secured debt has some form of collateral. For example, the car you purchase with a car loan acts as collateral for the loan. If you stop making payments, the lender can repossess your car and sell it to get their money back",['']
193,What is collections?,"If a borrower stops paying on their debt (typically after 3 months), it becomes delinquent debt and goes into collections. The creditor may sell your debt to a collection agency for pennies on the dollar or hire a collection agency to be their muscle and try to make you pay up.",['']
194,What is consumer debt?,"We define consumer debt as any non-mortgage debt, such as credit card debt, medical debt, student loans, car loans, personal loans, home equity loans, 401(k) loans and tax debt.",['']
195,What does it mean to cosign?,"If a lender decides you don’t have a good enough income or credit history or a high enough credit score to get approved for a loan, they may require you to have a cosigner—someone with better credit who can take on the loan if you can’t. But you should never let someone cosign a loan for you, and you should never cosign a loan for someone else. Because things get messy really quick when you miss a payment and the creditors come after your relative or friend who cosigned for you.",['']
196,What is credit?,"The ability to borrow money or purchase items or services with the promise to pay back that money later, usually with added interest. Paying in cash is always better than using credit. If you can’t pay cash for something, you can’t afford it.",['']
197,What is a creditor?,The person or business you owe money too.,['']
198,What is a credit bureau?,"A credit bureau (also known as a credit reporting company or agency) is an organization that collects and researches individual credit information and sells it to creditors for a fee, so they can make decisions about granting loans. Equifax, Experian and TransUnion are the three major credit bureaus.",['']
199,What is a credit card?,"A piece of plastic (or metal, if it’s fancy) that allows the cardholder to borrow money to pay for stuff. Credit card debt is what happens when the cardholder doesn’t pay off the total amount they charged to the card at the end of the month. At that point, the cardholder owes the remaining balance, plus interest.",['credit cards']
200,What is a credit limit?,"The max amount you can borrow or charge to a line of credit. It’s often based on your income, credit score and other factors.",['']
201,What is a credit report?,"Super detailed statements about your past and present credit activity. It’s important to check in on your credit report for any mistakes—and even fraud—at least once a year. You can get a free copy of your credit report every year from each of the major credit bureaus—Equifax, Experian and TransUnion.",['']
202,What is a credit score?,"A number (between 300–850) based on your credit history that most lenders use to decide if you seem reliable enough to pay back your debts (aka your creditworthiness). But it doesn’t factor in your actual wealth, only your debt. It’s really just an “I love debt” score that’s based on your history with borrowing money, how much debt you have, and how long you’ve had it. Below are the percentages on how the FICO Score calculated?  35% - history  30% - levels  15% - length  10% - types  10% - new",['']
203,What is Credit Worthiness?,"This refers to how reliable a lender thinks you’ll be in paying off your debt (usually based on how reliably you’ve done it in the past). But just because you’re “credit worthy,” it doesn’t mean you’re actually good with money.",['']
204,What is debt?,"Owing any money to anybody for any reason. In other words, debt is when someone borrows money (a debtor) and is responsible for paying back the person or company who loaned them that money (the creditor or lender).",['']
205,What is debt consolidation?,The process of combining several debts into one monthly bill on a streamlined payoff plan. But it typically keeps the borrower in debt even longer and usually comes with fees and higher interest rates. And it doesn’t solve the underlying behavior that leads to debt in the first place.,['']
206,What is a debt settlement?,This is when you hire a company to negotiate a lump-sum payment with your creditors for less than what you owe. But debt settlement companies can charge some crazy high fees. And you can negotiate with your creditors yourself.,['']
207,What is the debt snowball method?,"Paying off debt in order of smallest balance to largest, regardless of the interest rate.   The debt snowball (shortened):  Step 1: List your debts smallest to largest, regardless of interest rate. Pay minimum payments on everything but the little one.  Step 2: Attack the smallest debt with a vengeance. Once that debt is gone, take that payment (and any extra money you can squeeze out of the budget) and apply it to the second-smallest debt while continuing to make minimum payments on the rest.  Step 3: Once that debt is gone, take its payment, and apply it to the next-smallest debt. The more you pay off, the more your freed-up money grows and gets thrown onto the next debt—like a snowball rolling downhill.  Repeat this method as you plow your way through debt. The more you pay off, the more your freed-up money grows.    This is the best way to pay off your debt because you build momentum each time you knock out a smaller debt. The quick wins keep you motivated to pay off your debt as fast as you can.",['']
208,What is a Debt-to-income ratio or DTI?,"A banking term to explain what percentage of your income goes toward debt each month. But it doesn’t take just debt into account—it also includes rent and other reoccurring payments, like child support and alimony. If your DTI is too high (you have too much debt) lenders won’t lend you more money. We have a Debt-to-Income Ratio Calculator that will do the math for you and tell you your DTI.",['']
209,What does it mean to default?,"If you’re delinquent on a loan for too long (aka you’ve stopped making payments), it goes from delinquent to default. If you default on secured debt (like a car loan or mortgage), a lender may place a lien (a claim of ownership) on your stuff and take it back through repossession or foreclosure to get back the money you owe them. ",['']
210,What is a deferment?,A way to temporarily stop paying on a loan. Deferment may also stop interest from adding up while your payments are on pause—but it depends on the loan.,['']
211,What is delinquent?,"The moment you miss a payment on a loan, the debt becomes delinquent. If your loan stays delinquent (you continue to not make payments) for 90 days or more, it may go into default and handed over to a collections department or agency.",['']
212,What is a down payment?,"The cash paid up front to buy an expensive item—like a car or house. The down payment is only a portion of the total price, which means you would have to take out a loan to finance the rest. The only time we’re okay with making a down payment, instead of paying in full, is when you buy a house. You should aim for a 10–20% down payment—20% is better to avoid PMI (private mortgage insurance). The higher your down payment, the less you have to borrow.",['']
213,What is FICO?,"he most common credit score system created by the Fair Isaac Corporation (FICO). FICO is one kind of credit score, but not all credit scores are FICO. Your FICO score is calculated like this: payment history (35%), amounts owed (30%), length of credit history (15%), credit mix (10%), and new credit (10%). It’s all about your relationship to debt—not your responsibility with money. That’s why we call it an I-Love-Debt score.",['credit cards']
214,What is Forbearance?,"A way to temporarily postpone loan payments, usually for a mortgage or student loan. You can apply for forbearance if you have a financial hardship, medical expenses, change in employment or other reasons you can’t cover your loan payments. But even if your payment is put on hold, the loan continues to build up interest—which means you could end up with a higher balance than before you paused payments.",['']
215,What is garnishment>,"When part of your paycheck is sent directly to your creditor, meaning that money never hits your bank account. Creditors usually need a court order from a judge before they can garnish your wages—unless you’re behind on back taxes, child support, or federal student loans.",['']
216,What is a HELOC?,"A type of home equity loan that allows you to borrow against your home’s equity (the difference between what your house is worth and what you still owe on your mortgage). You’re basically giving up the equity you’ve earned on your home and trading it in for more debt. A HELOC is a revolving line of credit, which means you have a credit limit and you only payback what you’ve spent from the line of credit. And as you pay back what you borrowed; you can borrow more as long as you haven’t hit your credit limit. But because your house is the collateral for a HELOC, you could lose your home if you don’t pay back what you owe. Yikes!",['']
217,What is a Home Equity Loan?,"A second mortgage that allows you to borrow money against your home’s equity (your home’s current value minus what you owe on your mortgage). A home equity loan is a lump sum you pay back over time. But because your house is collateral for the loan, you could lose your home if you can’t pay it back.",['']
218,What is an interest rate?,"For borrowed money, this is the amount a lender charges for a loan. It’s a percentage of the total amount you borrow. So, If you borrow $1,000 at 10% interest, you pay back the $1,000 plus $100 in interest ($1,000 X 10% = $100) (per year).  For saved money, it’s the percentage a bank or financial institution pays you for saving money. So, if you kept $1,000 in a savings account that pays 10% interest for a year, you’d have $1,100.",['']
219,What is a lender?,"The lender (aka creditor) is the person or entity loaning you money. Private companies, banks, credit unions, friends, family and even the government can act as lenders.",['']
220,What is a Lien?,"A legal claim of ownership on anything used as collateral for debt. If you stop making payments on your debt, a lender can place a lien on your stuff and eventually take it back through repossession (or foreclosure if you owe on your house).",['']
221,What is a line of credit?,"A type of revolving debt (like a credit card or store credit account). You have a set credit limit (which is the maximum amount you can borrow), and you have to make monthly payments on what you’ve borrowed to be able to keep spending. But if you don’t pay off your whole balance, you’ll get charged interest on what you owe.",['']
222,What is a Loan Term?,"The amount of time you have to pay back a loan. A longer term means lower monthly payments, but you’ll pay more in interest over the life of the loan—and be in debt longer.",['']
223,What is microlending?,"Small loans usually given to people in Third World countries (where normal loans aren’t available) to help them start small businesses. Microloans are issued by an individual or a group of people rather than a bank or credit union. Microlending may sound charitable in theory, but because the borrower’s credit is usually very low, microloan interest rates tend to be way above average U.S. rates. This makes it easier for individual lenders to take advantage of someone’s lack of financial knowledge. And microloans are still loans that put people in debt—which is never a good option for anyone.",['']
224,What does a minimum payment mean?,"The smallest amount you must pay on your revolving debt in order to keep borrowing money. Usually, if you only cover the minimum payment, you get charged interest on your remaining balance.",['']
225,What is a mortgage?,"A loan you get to buy a house. The best way to buy a house with 100% cash down, but a mortgage is the only kind of debt we won’t yell at you for having. We tell people to aim for a 10–20% down payment—20% if you want to avoid private mortgage insurance (PMI). Your monthly payment (including taxes, insurance and HOA fees) on your mortgage should be no more than 25% of your take-home pay (the amont of money that you take home after-tax that does not include insurance or investments) on a 15-year fixed-rate conventional mortgage. ",['']
226,What is a payday loan?,"A payday loan (also known as a cash advance loan or check advance loan) is a short-term loan (usually targeted at people in low-income areas) where you write a check to the lender, and they give you the same amount in cash. The lender doesn’t cash your check until your next payday. Payday lenders charge crazy fees and interest. Plus, when you pay them back, they take such a big chunk of your income, you’ll probably have to take out another payday loan to make it to your next paycheck. It’s a vicious cycle.",['']
227,What is Peer-to-Peer Lending?,"Peer-to-peer lending (also known as “social lending” or “crowd lending”), lets people take out loans directly from an individual or a group, instead of going through a bank or other financial institution. It’s super risky for the one loaning the money because it’s harder to verify the person’s ability to pay the loan back. Plus, it’s still a loan—which we never recommend.",['']
228,What is a personal loan?,"A lump sum borrowed from a bank, credit union or online lender that you have to pay back over time. People use personal loans for everything from paying for a wedding or vacation to home renovations and medical bills. It’s called a personal loan because you use the money for personal reasons—as opposed to a car loan or mortgage. It is not a loan you get from a person.",['']
229,What is Principal?,"The original amount of money borrowed in a loan. This doesn’t include the added interest. For example, if you buy a $200,000 home with a $10,000 down payment, the principal amount of your mortgage will be $190,000.",['']
230,What is repossession?,"When a lender takes back an item (collateral for a loan) that you stopped making payments on. For example, if you stop paying on your car loan, the lender can place a lien (claim of ownership) on your car and eventually take it back through a repossession. They usually sell it at auction for way cheaper than it’s worth and sue you for the difference",['']
231,What is the difference between revolving and non-revolving debt?,"Revolving debt is an open line of credit (like a credit card or store credit card). You might have a set borrowing limit (called a credit limit), and if you make the minimum payment on time and don’t exceed your limit, you can keep borrowing and spending. But if you only cover the minimum payment each month, you’ll have to pay interest on the amount you owe.     Nonrevolving debt is when you take out one lump sum (like a mortgage) and agree to an interest rate and repayment plan.",['']
232,What is Secured debt?,"With secured debt, you’re borrowing money that’s backed by a physical item. In other words, there’s collateral. It’s a lower risk for lenders because they either get your money in payments or they take back what you “bought” and sell it. So, if you have a car loan and stop making your payments, the lender will take back your car and sell it to get their money back.",['']
233,What is Tote the Note?,"Tote the note car lots (also known as buy here, pay here lots) offer financing in house, instead of sending their car buyers to third parties like banks or credit unions (which is what traditional dealers do). Interest rates are typically much higher at tote the note dealerships.",['']
234,What is unsecured debt?,"With unsecured debt, there is no collateral. Credit card debt is an example of unsecured debt. This type of debt is riskier for lenders since there isn’t anything they can take if you don’t pay—so unsecured debt often has higher interest rates to cover the lenders’ risk.",['']
235,What is a validation letter?,A detailed note a debt collector sends you to prove you owe them money. Do not give a debt collector any money without a validation letter!,['']
236,What is zombie debt?,"Any old debt (usually debt you haven’t paid on in a long time) that’s come back to haunt you. If a collector tries to bring up zombie debt, watch your back. It might be something you still have to pay off—or it could be identity theft or a scam.",['']
237,What are the baby steps?,"The 7 Baby Steps are the plan for your money.  Take control of your money one step at a time with Dave Ramsey’s 7 Baby Steps—the proven, practical way for you to change your life.    Baby Step 1: Save $1,000 for your starter emergency fund. Baby Step 2: Pay off all debt (except the house) using the debt snowball. Baby Step 3: Save 3–6 months of expenses in a fully funded emergency fund. Baby Step 4: Invest 15% of your household income in retirement. Baby Step 5: Save for your children's college fund. Baby Step 6: Pay off your home early. Baby Step 7: Build wealth and give.",['baby steps']
238,What is baby step 1?,"Save $1,000 for your starter emergency fund.",['baby steps']
239,What is baby step 2?,Pay off all debt (except the house) using the debt snowball.,['baby steps']
240,What is baby step 3?,Save 3–6 months of expenses in a fully funded emergency fund.,['baby steps']
241,What is baby step 4?,Invest 15% of your household income in retirement.,['baby steps']
242,What is baby step 5?,Save for your children's college fund.,['baby steps']
243,What is baby step 6?,Pay off your home early.,['baby steps']
244,What is baby step 7?,Build wealth and give,['baby steps']
245,How should I get out of debt?,The debt snowball method is the best way to get out of debt.,['debt snowball']
246,What is the debt snowball method?,"The debt snowball (shortened):  Step 1: List your debts smallest to largest, regardless of interest rate. Pay minimum payments on everything but the little one.   Step 2: Attack the smallest debt with a vengeance. Once that debt is gone, take that payment (and any extra money you can squeeze out of the budget) and apply it to the second-smallest debt while continuing to make minimum payments on the rest.   Step 3: Once that debt is gone, take its payment, and apply it to the next-smallest debt. The more you pay off, the more your freed-up money grows and gets thrown onto the next debt—like a snowball rolling downhill.  Repeat this method as you plow your way through debt. The more you pay off, the more your freed-up money grows.",['debt snowball']
247,What is the debt snowball method?,"List your debts smallest to largest. Pay minimum payments on everything but the little one. You attack the little one with a vengeance—scorched earth lifestyle. Sell so much stuff the kids think they’re next, 16 extra jobs. Name the dog eBay and put him there. Put the cat on Craigslist. We’re getting out of debt.     Stop all investing temporarily, and completely focus all your emotional, spiritual, financial and relational energy on that smallest debt. Everything goes on that one. When that one’s gone, take the payment that used to be there and any other money we can squeeze out of our budget, and throw it at number two. When that one’s gone, take the payments from one and two (the snowball rolls over again and picks up more snow), and attack number three.     The average person who has done that with great, focused intensity and intentionality, gone crazy to the point their broke friends and family thought they needed counseling . . . they shaved their head, drank the Kool-Aid . . . they get out of debt in about 18–24 months. Everything but their house.",['']
248,When can I pause the debt snowball?,"you’re expecting a baby.  you lose your job.  you experience a major medical emergency.     Once you're past the emergency or crisis period, get that debt snowball rolling again! ",['debt snowball']
249,Is there any good debt?,"All debt is bad debt. The only (slight) exception to that rule is a mortgage. If you have a mortgage or are thinking about purchasing a home, the monthly payment needs to be no more than 25% of your take-home pay (on a 15 year mortgage)—including private mortgage insurance (PMI), property taxes, insurance and HOA fees. You need to put at least 10% down, but a 20% down payment is even better, since you will avoid paying PMI. You’ll pay your mortgage off in Baby Step 6.",['debt']
250,Is it ever okay to borrow from family?,"It is never okay to borrow money from family. You should never loan money to family and friends. If you feel like you want to help out (and you have the money to help them), make it a gift. ",['family']
251,Can I cosign a loan?,"Never, under any circumstances, cosign on a loan! Here’s why: Never cosign a loan. I didn’t say sometimes. I said never, under any circumstances, ever cosign. You might say, “Well, I want to help my child get a car.” So, give them some money. “I don’t have the money.” That’s my point. Don’t cosign for a loan. You know why? Because you don’t have any money. The reason the bank wants a cosigner is they know the person borrowing the money is not going to pay the bill.",['cosign']
252,What is an unsecured loan?,Unsecured loans are loans taken out without collateral. This means the lender doesn’t have a lien on anything if you don’t pay. ,['']
253,What do I do if I am upside down on a car?,"If you’re upside down on your car and you need to sell it, borrow the difference with an unsecured loan to pay off the balance. Then, attack that debt with a vengeance.",['upside-down']
254,What do I do if I don't even make enough money to make minimum payments on everything I owe?,"If you don’t have enough money to make payments on all your debts, unsecured debt is at the bottom of the list.",['debt snowball']
255,When can I cash out my 401(k)?,"Don’t cash out a 401(k), except when avoiding bankruptcy or foreclosure.",['401(k)']
256,Am i smart enough for this?,Personal finance is 80% behavior and only 20% head knowledge. ,['']
257,The math isn't working out for me,"The problem with your money is not your math. The problem with your money is the person in your mirror—they’re screwing up everything. If I could get the guy in my mirror to behave, he’d be skinny and rich—that’s what I’ve figured out.",['']
258,"I make a good amount of money, how am I still broke?",You cannot make enough to out earn stupidity,['']
259,What is the highest priority debt to pay?,IRS tax debt goes to the top of the list.,['debt']
260,What is gazelle intensity?,Gazelle intensity is the term Dave Ramsey came up with to describe the speed and intensity you should have when paying off debt. It’s all about running away from debt—like your life depends on it.,['']
261,Should I invest while getting out of debt?,Pause investing to get out of debt.,['']
262,What mortgage service do you recommend?,Churchill Mortgage Churchill Mortgage is a RamseyTrusted provider that can help you understand everything you need to know about mortgages so you can make the right decision for your family.  Churchill helps our fans with getting a mortgage and mortgage refinancing (if the breakeven analysis makes sense).  They do manual underwriting for people with no credit score.,['mortgage']
263,Do I need a credit score to get a mortgage?,Churchill Mortgage is a RamseyTrusted provider that can help you understand everything you need to know about mortgages so you can make the right decision for your family.  Churchill helps our fans with getting a mortgage and mortgage refinancing (if the breakeven analysis makes sense).  They do manual underwriting for people with no credit score.,"['mortgage', 'credit cards']"
264,My credit score is great! Am i doing well wit money?,"Your credit score doesn't matter. A credit score is nothing but an ""I love debt"" score. It's proof that you've borrowed money and paid it back, so that you can borrow more money and pay THAT back. And the cycle goes on forever. If you want a life without payments, stop chasing a life WITH payments.",['credit cards']
265,UltraFICO?,"What Is UltraFICO? It’s ultra-stupid, that’s what it is.",['credit cards']
266,Are credit cards okay to have?,"Credit cards are not the way to financial security. In fact, they’ll take you in the opposite direction.",['credit cards']
267,Are credit cards bad?,"When credit cards stay out of your wallet, money stays in",['credit cards']
268,Are credit cards evil?,"The credit card is the cigarette of money. Everyone knows it’s bad and will kill you, yet people still use it.",['credit cards']
269,Should I give me teen a small credit card to teach them to be responsible?,Your teenager does NOT need a credit card to learn how to be responsible with money.,"['credit cards', 'kids']"
270,Should I take out a credit card for the airline miles?,"I never met a millionaire who said, ‘I made all my money with airline miles.’ Rich people don’t fall for stupid credit card tricks.",['credit cards']
271,Aren't credit cards a good safety net?,Credit cards are NOT a safety net.,['credit cards']
272,Is there such a thing as good debt? I think it can help me,"THERE’S NO SUCH THING AS GOOD DEBT. The shortest distance between you and wealth is having NO DEBT. You should be able to KEEP the money you work so hard for and build a future that you’re proud of. Get out of debt as quickly as you can, so you can live a life of FREEDOM. I won’t get mad at you for having a mortgage, but it’s still debt and you need to pay it off as quickly as possible. If you become debt-free and decide that you hate it, you can always go back and get some more . . . but I have a feeling you won’t really want to.",['debt']
273,"I can't build a 20% down payment for my first home, can I take a smaller one?","If a 20% down payment seems out of reach, first-time home buyer programs that offer single digit down payments may sound tempting. But don’t use them! These options will cost you more in the long run. And remember—if it seems like a deal for you now, it’s because it’s an even better deal for your lender in the end",['house']
274,Are you upset with me for having a mortgage?,"I won’t get mad at you for having a mortgage, but it’s still debt and you need to pay it off as quickly as possible.",['mortgage']
275,Can I just get a co-signer?,"If you need a cosigner, you’re not ready to make that purchase—period",['cosign']
276,Shouldn't I pay the highest interest debt off first?,"You don’t fix a behavior problem with a math solution. You fix a behavior problem with a behavior solution. And paying off the smallest one, even though it is illogical, will cause you to have more success because you’ll get fired up because you’re having some success.",['debt snowball']
277,Should I do the debt snowball or the debt avalanche method?,"The debt snowball method is a more successful approach than the debt avalanche method. Sure, it's mathematically correct to tackle the higher interest rate first . . . but if you were doing math this entire time, you probably wouldn't have gone into debt in the first place.",['debt snowball']
278,What is a 529 plan?,"A 529 plan (cleverly named after its section of the IRS code) is a state-run tax-advantaged account that allows you to set aside money for education costs. You can choose a prepaid tuition plan or a savings plan. We recommend the savings plan. Here are the main features:  It’s a tax-advantaged account that allows the beneficiary to use the money for both college and K-12 educational expenses.  Each 529 plan varies from state to state. You don’t have to use your state’s 529 plan. You can shop around and see if 529s from other states have better investment options and lower fees!  There are no annual contribution limits for a 529 plan, but you must pay federal “gift tax” if you contribute more than $15,000.    There’s no age limit for distributions (in most states). If your 32-year-old decides to go back to school, they can still use money from a 529.  There are no income restrictions for contributing to a 529.  Growth and withdrawals are not subject to federal income tax (used for qualified educational expenses, including tuition and books.    If you want to use money in a 529 plan for noneducational expenses, you can. It’s your money! But nonqualified withdrawals are taxed and hit with a 10% penalty. The person who receives the distribution pays the tax on the money taken out.  The SECURE Act, passed in December 2019, created new qualified expenses for 529 savings plans. Distributions can now be used for apprenticeships, homeschooling expenses, and repayment of up to $10,000 of student loans for the beneficiary and their siblings.",['']
279,What is APR?,The amount borrowed money costs you each year. The APR includes your interest rate and other related fees you have to pay when you owe money.,['']
280,What is a budget?,"A written plan for your money. It can be on paper or digital, and details your giving, saving and spending for the month. ",['']
281,What is the debt avalanche method?," debt-payoff method where you pay off your debts in order from the highest interest rate to the lowest, regardless of the balance (aka debt stacking). We don’t recommend the debt avalanche. If we were paying attention to interest rates, we never would have gone into debt in the first place. Plus, you don’t end up saving that much money in interest this way—as long as you’re focused on paying off your debts fast. And, if you start with debts with higher balances, you’ll run out of steam because it takes so long to see progress.",['']
282,What is an emergency fund?,"Money you’ve set aside for life’s unexpected expenses—sometimes people call it a rainy-day fund. But whatever you want to call it, this emergency savings is the buffer between you and life. If you have consumer debt, start with a $1,000 emergency fund. Then, when you’re debt-free (except for the house) save up a fully funded emergency fund of 3-6 months of expenses.",['']
